order,class_name,class_teacher,class_school,class_sum
9,大学计算机,李凤霞 陈宇峰 赵三元 ,北京理工大学,15744
9,计算机通信网络,卢选民 闫中江 赵宏伟 ,西北工业大学,15492
9,物联网工程导论,普园媛 何乐生 余鹏飞 杨艳华 艾昌文 尉洪 常俊 周永录 刘宏杰 ,云南大学,14986
9,Java程序设计基础,赖红 李钦 覃国蓉 魏勇 ,深圳信息职业技术学院,14813
9,Petri网：模型、理论与应用,袁崇义 闻立杰 王建民 ,清华大学,14522
9,Linux系统管理,颜晨阳 ,宁波城市职业技术学院,14211
9,微软--计算机视觉论文分享课,,,12997
9,网络、群体与市场,石兵 ,武汉理工大学,12824
10,大数据算法,王宏志 ,哈尔滨工业大学,12815
10,玩转计算机二级—office高级修炼,苟燕 王强 刘志国 侯欣舒 ,内蒙古师范大学,12505
10,嵌入式系统设计,杨峰 ,电子科技大学,12491
10,数据库系统（中）：建模与设计,战德臣 ,哈尔滨工业大学,12032
10,信息安全技术,孙建国 赵国冬 兰海燕 ,哈尔滨工程大学,11947
10,数据库系统原理与开发,陆鑫 张凤荔 陈安龙 ,电子科技大学,11619
10,数据库系统（下）：管理与技术,战德臣 ,哈尔滨工业大学,11466
10,大学物理（力学）,孟庆鑫 韩权 ,哈尔滨工业大学,11357
10,C语言程序设计（下）,李凤霞 陈宇峰 薛庆 赵三元 ,北京理工大学,11229
10,深度学习基础,刘远超 ,哈尔滨工业大学,11187
11,程序设计基础,叶麟 苏小红 赵玲玲 ,哈尔滨工业大学,11026
11,软件工程与软件自动化,高玉金 王一拙 ,北京理工大学,10954
11,高级操作系统,陈渝 ,清华大学,10940
11,计算机程序设计基础,乔林 ,清华大学,10807
11,软件工程,张爽 ,东北大学,10648
11,大学计算机基础与应用,李丽芬 邵芬红 韩海花 陈晓芳 ,燕京理工学院,10637
11,Linux操作系统分析,孟宁 ,中国科学技术大学,10597
11,Python大数据分析,崔立真 鹿旭东 潘鹏 ,山东大学,10493
11,计算机网络 Computer Networks,王昊翔 ,华南理工大学,10465
11,Linux导论,杰里•库伯斯坦 ,学堂在线,10347
12,信息素养-互联网+时代的学习与生活,陈桂林 赵生慧 于春燕 张志勇 徐志红 胡晓静 ,滁州学院,10226
12,计算机控制导论,李东升 ,山东大学,10195
12,计算机绘图与CAD,张鹏 ,大连工业大学,10096
12,信息隐藏技术,任帅 ,长安大学,9674
12,北大AI公开课,雷鸣 ,北京大学,9673
12,This is AI,IBM Research ,学堂在线,9592
12,智能设备应用开发（基于Android平台）,贾连芹 周倩 王军 徐红 ,山东商业职业技术学院,9367
12,计算机绘图,涂晶洁 ,宁波大红鹰学院,9355
12,计算机程序设计,周会平 ,国防科技大学,9282
12,Python语言程序设计,杨洁 曲著伟 李在伟 周家地 卢永江 应芳琴 廖一星 刘毅 张铭 ,浙江财经大学东方学院,8595
13,5G与人工智能,胡白燕 王润 ,湖北师范大学,8570
13,设计思维,刘静伟 孟浏今 厉谦 吴龙 薛媛 ,西安工程大学,8480
13,程序设计语言（C语言）,李岚 ,湖北职业技术学院,8171
13,Python爬虫入门实战,饶淙元 ,清华大学,8150
13,高性能计算机网络,颜昕 ,武汉理工大学,8064
13,数据挖掘,喻梅 王建荣 于健 徐天一 赵满坤 高洁 刘志强 ,天津大学,7965
13,媒体大数据挖掘与案例实战,沈浩 ,中国传媒大学,7686
13,计算机基础与应用,李春宏 徐娟 沙莉 玄文启 沈湘芸 何锋 ,云南财经大学,7654
13,计算机组成原理,纪禄平 ,电子科技大学,7573
13,微电子工艺,田丽 王蔚 ,哈尔滨工业大学,7521
14,计算思维导论,唐培和 徐奕奕 ,广西科技大学,6953
14,嵌入式系统理论与技术,胡威 施青松 ,武汉科技大学,6369
14,万物互联,杜秀娟 ,青海师范大学,6265
14,计算思维导论,吕橙 万珊珊 邱李华 郭志强 ,北京建筑大学,6258
14,嵌入式系统,毕盛 汪秀敏 毛爱华 唐杰 ,华南理工大学,6055
14,游戏程序设计,徐力 钟建斌 高璐 孙峻 王毅 兰翔 马若遥 王海龙 乔晨 黄健聪 陈志浩 周轩 赖贵雄 林智超 潘霖 晁阳 唐声福 曾毅 刘洋 陈明建 李波 祝清鲁 赵永伟 肖坚 ,清华大学,6032
14,Web设计与应用,潘晟旻 方娇莉 姜迪 郭玲 普运伟 陈榕 张春红 刘领兵 田春瑾 耿植林 黎志 ,昆明理工大学,5938
14,计算机辅助设计,方利国 ,华南理工大学,5926
14,“做中学”Java程序设计,郑哲 ,宁波城市职业技术学院,5854
14,液晶显示技术,王丹 姚日晖 郑奕娜 ,华南理工大学,5479
15,多媒体技术,李晶 涂卫平 常军 陈江汉 韩镇 ,武汉大学,5461
15,操作系统原理,田丽华 ,西安交通大学,5352
15,青年AI自强计划-计算机视觉课程,王明哲 ,清华大学,5302
15,单片机原理及应用,李璋 田茂 姚静 黄汉华 ,湖北大学,5094
15,互联网体系结构,孟宁 刘贵学 ,中国科学技术大学,4847
15,物联网概论,何源 ,清华大学,4838
15,网络技术与应用实验,俞海英 沈鑫剡 李兴德 许继恒 李杰 张石磊 谢青 ,中国人民解放军陆军工程大学,4808
15,智能车制作：底盘结构与调试,杨珏 ,北京科技大学,4731
15,软件工程,张晓龙 刘茂福 赵红武 王磊 高峰 ,武汉科技大学,4680
15,漏洞利用及渗透测试基础,刘哲理 张健 李敏 李兴娟 乜鹏 ,南开大学,4625
16,素描与体验——原理与形式研究,张元稼 刘沛 杨伟孝 董文通 胡涛 李恺 ,西安美术学院,4473
16,操作系统,张伟 ,东北大学,4387
16,Web安全实践,郭燕 ,中国科学技术大学,4332
16,EXCEL高级应用,王瑾瑜 索丽霞 陈一 吴淑清 王晓静 ,呼和浩特职业学院,4240
16,程序设计技术（基于C）-基础,刘慧君 王茜 陈恒鑫 葛亮 曾令秋 杨瑞龙 ,重庆大学,4076
16,智能控制导论,刘辉 王彬 李俊丽 詹跃东 ,昆明理工大学,3987
16,智能控制,黄从智 ,华北电力大学,3814
16,大数据可视化,陈为 巫英才 ,浙江大学,3743
16,操作系统(RISC-V),向勇 陈渝 ,清华大学,3339
16,高级语言程序设计,祁文青 程细才 谢晋 ,湖北理工学院,3310
17,虚拟现实技术及应用,黄心渊 杨刚 孙国玉 李晓波 陈京炜 ,中国传媒大学,2987
17,计算机网络,郑瑞娟 王琳 肖春宝 张明川 吴庆涛 朱军龙 ,河南科技大学,2967
17,单片机原理及应用,鲍佳 ,浙江理工大学,2922
17,3D游戏引擎架构设计基础,陈泽琳 ,华南理工大学,2880
17,计算方法,张晓丹 郑连存 卫宏儒 沈政伟 丁军 ,北京科技大学,2684
17,跟着案例循序渐进学习c,白妙青 王雪婴 张红艳 萧宝玮 王文剑 ,山西大学,2670
17,数据结构,胡平 ,安徽工程大学,2627
17,概率论与数理统计,马占友 吕胜利 马金旺 王春艳 张彦 ,燕山大学,2616
17,多媒体技术及应用,郭芬 林育蓓 陆芳 ,华南理工大学,2603
17,网络安全技术(上海高校精品课程),贾铁军 ,学堂在线,2401
18,PHP程序设计,耿倩 党佳奇 雒江川 李俊 赵革委 蔡苏亚 ,陕西工业职业技术学院,2199
18,Code+程序设计大赛习题讲解,清华酒井算协 ,学堂在线,2133
18,数据库技术应用,赵祯 刘刚 孙凤龙 田雪 ,内蒙古电子信息职业技术学院,2030
18,数据结构与算法,吕威 苏清朗 冯广慧 陈群 马蕊 曾志平 ,吉林大学珠海学院,2005
18,计算机是如何实现智能的,马少平 ,清华大学,1787
18,疾风计划2021【一年时间助你学通计算机专业】,郑莉 邓俊辉 李超 徐明星 王瑀屏 邬晓钧 黄震春 刘强 刘璘 王振波 向勇 陈渝 纪禄平 陈志刚 陆鑫 张凤荔 陈安龙 袁华 杜广龙 张凌 陈琼 马千里 陈伟能 胡劲松 ,清华大学,1782
18,网页设计与地图应用,李中元 梅新 杜晓初 成晓强 ,湖北大学,1758
18,Python 交互式程序设计导论,张太红 ,新疆农业大学,1626
18,网络安全技术,张玉 ,南开大学,1592
18,网络安全,曹家浩 郭润 ,清华大学,1453
19,程序设计技术(基于C)-提高与应用,刘慧君 王茜 陈恒鑫 葛亮 曾令秋 杨瑞龙 ,重庆大学,1418
19,数据结构与算法,刘馨月 于红 张淼 ,大连理工大学,1400
19,计算未来云讲坛（2020）——清华大学计算机系前沿系列讲座,刘知远 易鑫 ,清华大学,1379
19,数据科学：一种新的思维方式,袁博 ,清华大学,1307
19,软件测试与质量保证,周勇 朴勇 ,大连理工大学,1289
19,系统辨识,刘翠玲 赵峙尧 ,北京工商大学,1236
19,数据结构,杨春花 刘国玲 李爱民 单建芳 ,齐鲁工业大学,1225
19,计算机音乐,李荣锋 ,北京邮电大学,1184
19,全球股市下跌-加密数字货币是避险资产吗？,罗玫 ,清华大学,1179
19,数据库概论,张璇 包崇明 蔡莉 ,云南大学,1156
20,疫情防控，大数据分析大显身手,李国良 ,清华大学,1136
20,网络安全攻防入门：漏洞利用及渗透测试基础,刘哲理 ,南开大学,1125
20,计算机辅助飞行器综合设计,袁昌盛 ,西北工业大学,1113
20,计算机网络,侯睿 李艳红 毛腾跃 周斌 王飚 朱剑林 ,中南民族大学,1112
20,从感知智能到认知智能：深度学习再思考,邓志东 ,清华大学,1081
20,喜迎清华大学109周年校庆-软件学院系列线上活动,杜平 尉迟坚 王建民 ,国家发展与改革委员会,1047
20,闲话AI：自然语言理解难在那儿？,刘知远 ,清华大学,978
20,贵系特奖学霸：科研小白入门指北,高天宇 ,清华大学,934
20,个人计算机主要硬件介绍,朱书琦 ,清华大学,905
20,王者荣耀荆轲之模型到游戏开发,于野 张永锋 ,启迪阿加学院,885
21,C语言程序设计,赵楷 任疆红 孙晶 盛琪 曹为民 周鲁梅 楚发元 张振宇 ,新疆大学,875
