order,class_name,class_teacher,class_school,class_sum
36,MySQL Database Programming,付湘琼 赵晓侠 杜文方 郝熙 刘领兵 潘晟旻 郑发鸿 寇卫利 李菊芳 张春红 张俊 张霖 马晓静 ,昆明理工大学,38
36,多领域端到端任务型对话系统研究分享,覃立波 ,哈尔滨工业大学,34
36,零基础晋级高级UI设计师（2020）,,学堂在线,34
36,探究句法信息对于基于句法距离的语言模型影响,杜文宇 ,西湖大学,33
36,计算机辅助绘图——Solid Edge ST,李世芸 ,昆明理工大学,28
36,深度学习训练营（测试）,胡晓林 ,清华大学,19
36,Ship,孙建平 姜忻 ,大连海事大学,13
36,机器学习训练营第2期,张敏 ,学堂在线计算机学院,10
37,深度学习原理与PyTorch实战,张江 ,集智学园,9
37,自然语言处理训练营,刘知远 ,学堂在线计算机学院,8
37,推荐系统训练营（第2期）,张敏 ,学堂在线计算机学院,5
37,深度学习训练营,胡晓林 ,学堂在线计算机学院,5
37,南开大学信息安全微专业（002期）,,南开大学,3
37,青少年编程能力培养计划,郑莉 徐明星 邬晓钧 陈永强 ,清华大学,3
37,数据科学认证证书项目（2020年4期）,袁博 王智 袁春 何隽 何隽 ,清华大学,2
37,北京邮电大学人工智能能力认证证书项目（003期）,,北京邮电大学,2
